"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
250,"Katife Kose","MITRADEL","Katife","Kose","Encargada de redes sociales","beijín, china","china","35:105'","""Seminario para Prensa y Periodistas de Países Hispanoamericanos""","8/30/2016",2016,"9/13/2016",,"Cubierto Por El Organismo",2400,,"pdf","Si"
251,"Maritza Dean","MITRADEL","Maritza","Dean","Directora de la regional de trabajo de chiriquí","beijín, china","china","35:105'","""Seminario para Prensa y Periodistas de Países Hispanoamericanos""","8/30/2016",2016,"9/13/2016",,"Cubierto Por El Organismo",2400,,"pdf","Si"
252,"Hernando Rodríguez","MITRADEL","Hernando","Rodríguez","Director de empleo","perú","perú","-10:-76'","""Modernización del Sistema de Plataforma Institucional de Empleo""","9/7/2016",2016,"9/10/2016","479.14",,1200,,"pdf","Si"
253,"Walter Quintero","MITRADEL","Walter","Quintero","Asesor en tecnología del despacho superior","perú","perú","-10:-76'","""Modernización del Sistema de Plataforma Institucional de Empleo""","9/7/2016",2016,"9/10/2016","479.14",,1200,,"pdf","Si"
254,"Rutilio González","MITRADEL","Rutilio","González","Director administrativo y finanzas","perú","perú","-10:-76'","""Modernización del Sistema de Plataforma Institucional de Empleo""","9/7/2016",2016,"9/10/2016","479.14",,1200,,"pdf","Si"
255,"Ledys Díaz","MITRADEL","Ledys","Díaz","Jefa de la oficina de compras","perú","perú","-10:-76'","""Modernización del Sistema de Plataforma Institucional de Empleo""","9/7/2016",2016,"9/10/2016","479.14",,1200,,"pdf","Si"
256,"Vielka Vigil","MITRADEL","Vielka","Vigil","Subdirectora de la oficina de cooperación técnica internacional","san josé, costa rica","costa rica","10:-84'","Reuniones Técnicas Bilaterales Preparatorias del Consejo de Asociación Costa Rica-Panamá ""Dialogo de Cooperación""","9/12/2016",2016,"9/14/2016","402.65",,1200,,"pdf","Si"
257,"Yatlin Ramos","MITRADEL","Yatlin","Ramos","Abogada de la oficina de cooperación técnica internacional","san josé, costa rica","costa rica","10:-84'","Reuniones Técnicas Bilaterales Preparatorias del Consejo de Asociación Costa Rica-Panamá ""Dialogo de Cooperación""","9/12/2016",2016,"9/14/2016","402.65",,1200,,"pdf","Si"
258,"Rorix Núñez","MITRADEL","Rorix","Núñez","Jefe de la oficina de cooperación internacional","cancún, méxico","méxico","23:-102'","""XIX Conferencia Interamericana de Ministros de Trabajo (CIMT) de la OEA""","12/2/2015",2015,"12/5/2015","1151.9",,1050,,"pdf","Si"
259,"Luis Carles","MITRADEL","Luis","Carles","Ministro de trabajo y desarrollo laboral","cancún, méxico","méxico","23:-102'","""XIX Conferencia Interamericana de Ministros de Trabajo (CIMT) de la OEA""","12/2/2015",2015,"12/5/2015","2138.96",,800,,"pdf","Si"
260,"Magsanda Abrego","MITRADEL","Magsanda","Abrego","Jefa del departamento de migración laboral","turín, italia","italia","42,833333:12,833333'","""Academia Sobre el Cumplimiento de las Normas en el Lugar de Trabajo Mediante la Inspección del Trabajo""","11/30/2015",2015,"12/12/2015","1267.39",,2520,,"pdf","Si"
261,"Edgar D'angelo","MITRADEL","Edgar","D'Angelo","Director de inpeccion de trabajo","turín, italia","italia","42,833333:12,833333'","""Academia Sobre el Cumplimiento de las Normas en el Lugar de Trabajo Mediante la Inspección del Trabajo""","11/30/2015",2015,"12/12/2015","1237.39",,2520,,"pdf","Si"
262,"Iraida Graell","MITRADEL","Iraida","Graell","Directora regional de panamá pacífico","turín, italia","italia","42,833333:12,833333'","""Academia Sobre el Cumplimiento de las Normas en el Lugar de Trabajo Mediante la Inspección del Trabajo""","11/30/2015",2015,"12/12/2015","1474.01",,2520,,"pdf","Si"
263,"Juan Mártinez","MITRADEL","Juan","Mártinez","Asistente del ministro de trabajo y desarrollo laboral","turín, italia","italia","42,833333:12,833333'","""Academia Sobre el Cumplimiento de las Normas en el Lugar de Trabajo Mediante la Inspección del Trabajo""","11/30/2015",2015,"12/12/2015","1667.06",,2520,,"pdf","Si"
264,"María Urriola","MITRADEL","María","Urriola","Directora de las juntas de conciliación","turín, italia","italia","42,833333:12,833333'","""Academia Sobre el Cumplimiento de las Normas en el Lugar de Trabajo Mediante la Inspección del Trabajo""","11/30/2015",2015,"12/12/2015","1474.01",,2520,,"pdf","Si"
265,"Marury Pimentel","MITRADEL","Marury","Pimentel","Jefa de la dirección de género","turín, italia","italia","42,833333:12,833333'","""Academia de Género""","11/16/2015",2015,"11/28/2015","1462.25",,"4032.54",,"pdf","Si"
266,"Alberto Lo Polito","MITRADEL","Alberto","Lo Polito","Subdirector de la dirección de género","turín, italia","italia","42,833333:12,833333'","""Academia de Género""","11/16/2015",2015,"11/28/2015","1462.25",,"4032.54",,"pdf","Si"
267,"Samuel Rivera","MITRADEL","Samuel","Rivera","Secretario general","lima, perú","perú","-10:-76'","""En el Marco de las Actividades de Cooperación Técnica de la OIT en Panamá""","10/12/2015",2015,"10/17/2015",,"Los Pasaje Aéreos Fueron Cubiertos Por La Oficina Internacional Del Trabajo Sial/oit",525,,"pdf","Si"
268,"Fabricio Pinzón","MITRADEL","Fabricio","Pinzón","Jefe del departamento de estadística de la oficina de planificación","lima, perú","perú","-10:-76'","""En el Marco de las Actividades de Cooperación Técnica de la OIT en Panamá""","10/12/2015",2015,"10/17/2015",,"Los Pasaje Aéreos Fueron Cubiertos Por La Oficina Internacional Del Trabajo Sial/oit",525,,"pdf","Si"
269,"Nidia Pino","MITRADEL","Nidia","Pino","Asistente de estadística del departamento de estadística de la oficina de planificación","lima, perú","perú","-10:-76'","""En el Marco de las Actividades de Cooperación Técnica de la OIT en Panamá""","10/12/2015",2015,"10/17/2015",,"Los Pasaje Aéreos Fueron Cubiertos Por La Oficina Internacional Del Trabajo Sial/oit",525,,"pdf","Si"
270,"Radames Zambrano","MITRADEL","Radames","Zambrano","Analista de política y programa de la oficina de planificación","lima, perú","perú","-10:-76'","""En el Marco de las Actividades de Cooperación Técnica de la OIT en Panamá""","10/12/2015",2015,"10/17/2015",,"Los Pasaje Aéreos Fueron Cubiertos Por La Oficina Internacional Del Trabajo Sial/oit",525,,"pdf","Si"
271,"Vielka Vigil","MITRADEL","Vielka","Vigil","Subdirectora de la oficina de cooperación técnica internacional","buenos aires, argentina","argentina","-34:-64'","""Experiencia Argentina en materia de Salario Minimo y Productividad, Erradicación del Trabajo Infantil y la Promoción y Fortalecimiento de la Cooperación Sur, Sur, Bilateral y Horizontal""","10/13/2015",2015,"10/17/2015","1385.67",,2250,,"pdf","Si"
272,"Yatlin Ramos","MITRADEL","Yatlin","Ramos","Abogada de la dirección contra trabajo infantil y protección del adolescente trabajador (diretippat)","buenos aires, argentina","argentina","-34:-64'","""Experiencia Argentina en materia de Salario Minimo y Productividad, Erradicación del Trabajo Infantil y la Promoción y Fortalecimiento de la Cooperación Sur, Sur, Bilateral y Horizontal""","10/13/2015",2015,"10/17/2015","1385.67",,2250,,"pdf","Si"
273,"Astrid Castroverde","MITRADEL","Astrid","Castroverde","Analista del departamento de salario mínimo.","buenos aires, argentina","argentina","-34:-64'","""Experiencia Argentina en materia de Salario Minimo y Productividad, Erradicación del Trabajo Infantil y la Promoción y Fortalecimiento de la Cooperación Sur, Sur, Bilateral y Horizontal""","10/13/2015",2015,"10/17/2015","1385.67",,2250,,"pdf","Si"
274,"Mileyka Chandeck","MITRADEL","Mileyka","Chandeck","Directora de planificación","fuzhou, china","china","35:105'","""La Gestión de Recursos Humanos del Gobierno para los Países en Desarrollo""","9/6/2015",2015,"9/29/2015",,"Los Pasajes Aéreos Fueron Cubiertos Por El Ministerio De Comercio De La República Popular China",4140,,"pdf","Si"
275,"Gerardo Guerrel","MITRADEL","Gerardo","Guerrerl","Jefe de projoven","fuzhou, china","china","35:105'","""La Gestión de Recursos Humanos del Gobierno para los Países en Desarrollo""","9/6/2015",2015,"9/29/2015",,"Los Pasajes Aéreos Fueron Cubiertos Por El Ministerio De Comercio De La República Popular China",4140,,"pdf","Si"
276,"Marixenia Álvarez","MITRADEL","Marixenia","Álvarez","Jefa del departamento de salario mínimo","cartagena de indias, colombia","colombia","4:-72'","""Curso del Crecimiento Económico, Desarrollo y Cohesión Social""","10/20/2015",2015,"10/24/2015","524.41",,525,,"pdf","Si"
277,"Carmen Roner","MITRADEL","Carmen","Roner","Asesora del despacho superior","lima, perú","perú","-10:-76'","""La Consulta informal para representantes de Gobiernos de América Latina y el Caribe","10/19/2015",2015,"10/21/2015","1274.33",,700,,"pdf","Si"
278,"Patricia Urriola","MITRADEL","Patricia","Urriola","Directora encargada de la dirección contra trabajo infantil y protección del adolescente trabajador (diretippat)","lima, perú","perú","-10:-76'","""La Consulta informal para representantes de Gobiernos de América Latina y el Caribe","10/19/2015",2015,"10/21/2015","1274.33",,700,,"pdf","Si"
279,"Cecilio Cedalise","MITRADEL","Cecilio","Cedalise","Asesor del ministro de trabajo","madrid, españa","españa","40:-4'","""La Inspección de Trabajo como Herramienta de Difusión del Trabajo Descente en América Latina ""","10/5/2015",2015,"10/10/2015",,"Los Pasajes Aéreos Fueron Cubiertos Por El Ministerio De Empleo Y Seguridad Social De España",1260,,"pdf","Si"
280,"Edgar D'angelo","MITRADEL","Edgar","D'Angelo","Directora de la dirección de trabajo","madrid, españa","españa","40:-4'","""La Inspección de Trabajo como Herramienta de Difusión del Trabajo Descente en América Latina ""","10/5/2015",2015,"10/10/2015",,"Los Pasajes Aéreos Fueron Cubiertos Por El Ministerio De Empleo Y Seguridad Social De España",1260,,"pdf","Si"
281,"Yara González","MITRADEL","Yara","González","Asistente ejecutiva del despacho superior","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","""Segunda Reunión Preparatoria de la XIX Conferencia Interamericana de Ministros de Trabajo de la OEA""","9/29/2015",2015,"10/2/2015","663.46",,1800,,"pdf","Si"
282,"Carmen Roner","MITRADEL","Carmen","Roner","Asesora del despacho superior","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","""Segunda Reunión Preparatoria de la XIX Conferencia Interamericana de Ministros de Trabajo de la OEA""","9/29/2015",2015,"10/2/2015","663.46",,1800,,"pdf","Si"
283,"Samuel Rivera","MITRADEL","Samuel","Rivera","Secretario general del ministerio de trabajo y desarrollo laboral","brasilia, brasil","brasil","-10:-55'","""VII Congreso Nacional sobre Condiciones y Medio Ambiente de Trabajo en La Industria de la Construcción""","4/12/2016",2016,"4/15/2016","1241.33",,1500,,"pdf","Si"
284,"Yolannie Núñez","MITRADEL","Yolannie","Núñez","Asistente del despacho superior","brasilia, brasil","brasil","-10:-55'","""VII Congreso Nacional sobre Condiciones y Medio Ambiente de Trabajo en La Industria de la Construcción""","4/12/2016",2016,"4/15/2016","1241.33",,1500,,"pdf","Si"
285,"Rolando Fuentes","MITRADEL","Rolando","Fuentes","Subdirector de inpección de trabajo","brasilia, brasil","brasil","-10:-55'","""VII Congreso Nacional sobre Condiciones y Medio Ambiente de Trabajo en La Industria de la Construcción""","4/12/2016",2016,"4/15/2016","1241.33",,1500,,"pdf","Si"
286,"Luis Carles","MITRADEL","Luis.","Carles","Ministro de trabajo y desarrollo laboral","san josé, costa rica","costa rica","10:-84'","""Reunión del Consejo de Ministros y Ministras de Trabajo de Centroamerica y República Dominicana"" y la Reunión Tripartita subrergional ""Hacia","4/20/2016",2016,"4/22/2016",,"Cubierto Por La Oit",250,,"pdf","Si"
287,"Rorix Núñez","MITRADEL","Rorix","Núñez","Jefe de la oficina de cooperación técnica internacional","san josé, costa rica","costa rica","10:-84'","""Reunión del Consejo de Ministros y Ministras de Trabajo de Centroamerica y República Dominicana"" y la Reunión Tripartita subrergional ""Hacia","4/20/2016",2016,"4/22/2016",,"Cubierto Por La Oit",300,,"pdf","Si"
288,"Yara González","MITRADEL","Yara","González","Asistente del sr. ministro de trabajo y desarrollo laboral","san josé, costa rica","costa rica","10:-84'","un Crecimiento Inclusivo con más y Mejores Empleos""","4/20/2016",2016,"4/23/2016","557.8",,1600,,"pdf","Si"
289,"Samuel Rivera","MITRADEL","Samuel","Rivera","Secretario general del ministerio de trabajo y desarrollo laboral","bogotá, colombia","colombia","4:-72'","""Etapas de Conciliación, Medicación y Comisones Tripartita""","4/6/2016",2016,"4/9/2016","443.07",,1600,,"pdf","Si"
290,"María Urriola","MITRADEL","María","Urriola","Directora de las juntas de conciliación","bogotá, colombia","colombia","4:-72'","""Etapas de Conciliación, Medicación y Comisones Tripartita""","4/6/2016",2016,"4/9/2016","443.07",,1600,,"pdf","Si"
291,"Judith Aparicio","MITRADEL","Judith","Aparicio","Jefa de asesoria y defensa gratuita de los trabajadores","bogotá, colombia","colombia","4:-72'","""Etapas de Conciliación, Medicación y Comisones Tripartita""","4/6/2016",2016,"4/9/2016","443.07",,1600,,"pdf","Si"
292,"Dayanara Barría","MITRADEL","Dayanara","Barría","Presidenta de la junta n° 8 de la regional del mitradel de la provincia de coclé","bogotá, colombia","colombia","4:-72'","""Etapas de Conciliación, Medicación y Comisones Tripartita""","4/6/2016",2016,"4/9/2016","443.07",,1600,,"pdf","Si"
293,"Rolando Fuentes","MITRADEL","Rolando","Fuentes","Subdirector de inpección de trabajo","lima, perú","perú","-10:-76'","""Seminario Tripartito para Promover el Cumplimiento de la Normativa Laboral Nacional en el Lugar de Trabajo a travez de la Inspección de Trabajo""","4/21/2016",2016,"4/23/2016",,"Cubierto Por La Oit",300,,"pdf","Si"
294,"Edgar D'angelo","MITRADEL","Edgar","D’Angelo","Director de inspección laboral","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
295,"Josthyn Flores","MITRADEL","Josthyn","Flores","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
296,"Leopoldo Quinzada","MITRADEL","Leopoldo","Quinzada","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
297,"Francisco Ortiz","MITRADEL","Francisco","Ortiz","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
298,"Alejandro Lasso","MITRADEL","Alejandro","Lasso","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
299,"Roberto Jiménez","MITRADEL","Roberto","Jiménez","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
300,"Belkis Oberto","MITRADEL","Belkis","Oberto","Analista","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
301,"Carlos Nieto","MITRADEL","Carlos","Nieto","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
302,"Aracelis Guardia","MITRADEL","Aracelis","Guardia","Asistente","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
303,"Ángel Valdespino","MITRADEL","Ángel","Valdespino","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
304,"Antonio Corro","MITRADEL","Antonio","Corro","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
305,"Elvia Flores","MITRADEL","Elvia","Flores","Directora de inspección (regional de colón)","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
306,"Pierre Fontane","MITRADEL","Pierre","Fontane","Director encargado (regional de panamá oeste)","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
307,"Manuel Rodríguez","MITRADEL","Manuel","Rodríguez","Director de minera coclé","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
308,"Erick Grajales","MITRADEL","Erick","Grajales","Inspector de seguridad","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
309,"Fátima Díaz","MITRADEL","Fátima","Díaz","Directora de inspección (regional de herrera)","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
310,"Andy Monrroy","MITRADEL","Andy","Monrroy","Coordinador de inspección (regional de","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
311,"Melissa Sanjur","MITRADEL","Melissa","Sanjur","Coordinador de inspección (regional de veraguas)","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
312,"Ariel Gómez","MITRADEL","Ariel","Gómez","Fotografo","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/16/2015",2015,"8/2/2015",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf","Si"
313,"Luis Carles","MITRADEL","Luis","Carles","Ministro de trabajo y desarrollo laboral","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/25/2015",2015,"7/30/2015",,601973,3400,,"pdf","Si"
314,"Martiniano Higüero","MITRADEL","Martiniano","Higüero","Asesor","seúl, corea del sur","corea del sur","37:127,5'","“Pasantía, Fortalecimiento de la Capacidad de Inspectores Panameños de la Seguridad y Expertos Panameños en el Manejo de Conflictos Laborales""","7/25/2015",2015,"8/2/2015","3048.77",,2100,,"pdf","Si"
315,"Rorix Núñez","MITRADEL","Ròrix","Núñez","Jefe de la oficina de cooperación técnica internacional","bogotá, colombia","colombia","4:-72'","""Observar el Funcionamiento del CENA, Servicios Públicos de Empleo y la Oficina de Cooperación Técnica Internacional del Ministerio de Trabajo de Bogotá""","7/27/2015",2015,"8/1/2015","387.68",,1750,,"pdf","Si"
316,"María Ordoñez","MITRADEL","María","Ordoñez","Jefa del departamento de discapacidad","bogotá, colombia","colombia","4:-72'","""Observar el Funcionamiento del CENA, Servicios Públicos de Empleo y la Oficina de Cooperación Técnica Internacional del Ministerio de Trabajo de Bogotá""","7/27/2015",2015,"8/1/2015","387.68",,1750,,"pdf","Si"
317,"Carlos Núñez","MITRADEL","Carlos","Núñez","Jefe del programa de apoyo a la inserción laboral.","bogotá, colombia","colombia","4:-72'","""Observar el Funcionamiento del CENA, Servicios Públicos de Empleo y la Oficina de Cooperación Técnica Internacional del Ministerio de Trabajo de Bogotá""","7/27/2015",2015,"8/1/2015","387.68",,1750,,"pdf","Si"
318,"Alexa Espino","MITRADEL","Alexa","Espino","Jefa del departamento de asesorìa legal","san josé, costa rica","costa rica","10:-84'","“Elaboración de Memorias Sobre Normas Internacionales del Trabajo”","8/25/2015",2015,"8/28/2015","668.77",,1400,,"pdf","Si"
319,"Carlos Samudio","MITRADEL","Carlos","Samudio","Asesor de la oficina de cooperaciòn tècnica internacional","san josé, costa rica","costa rica","10:-84'","“Elaboración de Memorias Sobre Normas Internacionales del Trabajo”","8/25/2015",2015,"8/28/2015",,"El Pasajes Aéreo Fue Pagado Por El Organismo Internacional De Trabajo",420,,"pdf","Si"
320,"Julio Coronado","MITRADEL","Julio","Coronado","Jefa de la unidad de informática","taiwan, republica de china","china","35:105'","""Taller sobre el Desarrollo del Gobierno Electrónico""","5/23/2016",2016,"6/8/2016",,"Cubierto Por La Embajada De Taiwan",2550,,"pdf","Si"
321,"Amed Arosemena","MITRADEL","Amed","Arosemena","Asesora del despacho superior","taiwan, republica de china","china","35:105'","""Taller sobre el Desarrollo del Gobierno Electrónico""","5/23/2016",2016,"6/8/2016",,"Cubierto Por La Embajada De Taiwan",2550,,"pdf","Si"
322,"Kenia Alonso","MITRADEL","Kenia","Alonso","Relacionista pública de la oficina de relaciones pública","taiwan, republica de china","china","35:105'","""Taller sobre el Desarrollo del Gobierno Electrónico""","5/23/2016",2016,"6/9/2016",,"Cubierto Por La Embajada De Taiwan",2550,,"pdf","Si"
323,"Josué Rivera","MITRADEL","Josué","Rivera","Oficial de seguridad de la regional de chiriquí","república de china, hangzhou","china","35:105'","""La Gestión de Recursos Humanos del Gobierno para los países en Desarrollo""","5/17/2016",2016,"6/8/2016",,"Cubierto Por El Organismo",,"Cubierto por el Organismo","pdf","Si"
324,"Carmen Arritola","MITRADEL","Carmen","Arritola","Administradora de la regional de chiriquí","república de china, hangzhou","china","35:105'","""La Gestión de Recursos Humanos del Gobierno para los países en Desarrollo""","5/17/2016",2016,"6/8/2016",,"Cubierto Por El Organismo",,"Cubierto por el Organismo","pdf","Si"
325,"Julio Polanco","MITRADEL","Julio","Polanco","Presidente de la junta de conciliación y decisión # 11 de la regional de chiriquí","república de china, hangzhou","china","35:105'","""La Gestión de Recursos Humanos del Gobierno para los países en Desarrollo""","5/17/2016",2016,"6/8/2016",,"Cubierto Por El Organismo",,"Cubierto por el Organismo","pdf","Si"
326,"Zulphy Santamaría","MITRADEL","Zulphy","Santamaría","Ministro de trabajo y desarrollo laboral","ginebra, suiza","suiza","47:8'","""105° Reunión de la Conferencia Internacional del Trabajo de la OIT""","5/28/2016",2016,"6/12/2016","3429.07",,6300,,"pdf","Si"
327,"Rorix Núñez","MITRADEL","Rorix","Núñez","Jefe de la oficina de cooperación técnica internacional","ginebra, suiza","suiza","47:8'","""105° Reunión de la Conferencia Internacional del Trabajo de la OIT""","5/28/2016",2016,"6/12/2016","920.99",,9600,,"pdf","Si"
328,"Edgar D'angelo","MITRADEL","Edgar","D'Angelo","Director de la dirección de inspección","ginebra, suiza","suiza","47:8'","""105° Reunión de la Conferencia Internacional del Trabajo de la OIT""","5/28/2016",2016,"6/12/2016","920.94",,9000,,"pdf","Si"
329,"Yara González","MITRADEL","Yara","González","Asistente del ministro de trabajo y desarrollo laboral","ginebra, suiza","suiza","47:8'","""105° Reunión de la Conferencia Internacional del Trabajo de la OIT""","5/28/2016",2016,"6/12/2016","920.99",,9600,,"pdf","Si"
330,"Felipe Contreras","MITRADEL","Felipe","Contreras","Subdirector de la dirección de trabajo","ginebra, suiza","suiza","47:8'","""105° Reunión de la Conferencia Internacional del Trabajo de la OIT""","5/28/2016",2016,"6/12/2016","920.99",,9600,,"pdf","Si"
331,"Beatriz Manzur","MITRADEL","Beatriz","Manzur","Jefa de la oficina de colaboración con la oit de la oficina de cooperación técnica internacional","tegucigalpa, honduras","honduras","15:-86,5'","""IIIª Reunión Anual de la Junta de Comercio y Desarrollo Sostenible""","6/15/2016",2016,"6/18/2016","723.6",,1600,,"pdf","Si"
332,"María Ordoñez","MITRADEL","Maria","Ordoñez","Jefa de la oficina de discapacidad","santa cruz de la cierra, bolivia","bolivia","-17:-65'","""Encuentro de la Red Iberoamericana de Inclusion Laboral de Persona con Discapacidad""","6/29/2016",2016,"6/5/2016","1038.4",,600,,"pdf","Si"
333,"Zulphy Santamaría","MITRADEL","Zulphy","Santamaría","Viceministra de trabajo y desarrollo laboral","ginebra, suiza","suiza","47:8'","""325° Reunión Del Consejo de Aministación de la OIT""","3/19/2016",2016,"3/25/2015","2417.57",,4200,,"pdf","Si"
